City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
170,metu,46,ET,1571475600,58.0,8.3012,35.581,300.088,0.784
171,victoria,98,BN,1571119200,69.0,5.2785,115.2423,304.14,3.238
172,leo,0,BF,1571410800,44.0,11.0971,-2.1048,306.97,3.07
173,karlskoga,100,SE,1571486400,84.0,59.3292,14.5177,283.261,3.16
174,thompson,100,CA,1571432400,88.0,55.7433,-97.8635,279.615,1.706
175,takayama,49,JP,1571281200,68.0,36.1396,137.251,288.325,3.125
176,jeronimo monteiro,63,BR,1571497200,38.0,-20.7895,-41.3951,305.502,2.054
177,cockburn town,62,TC,1571259600,68.0,21.4612,-71.1419,302.063,2.787
178,saint-joseph,0,FR,1571151600,53.0,43.5562,6.9715,294.5,9.442
179,mackay,31,CA,1571346000,42.0,53.65,-115.5834,285.441,3.063
180,severo-kurilsk,9,RU,1571540400,70.0,50.6789,156.125,279.388,1.399
181,college,0,US,1571184000,37.0,64.8569,-147.8028,274.254,1.493
182,mwene-ditu,81,CD,1571389200,65.0,-7.0065,23.4488,301.109,0.12
183,ulaangom,0,MN,1571119200,25.0,49.98,92.0689,285.62,3.349
184,najran,19,SA,1571486400,21.0,17.544,44.2247,299.711,4.773
185,esperance,11,AU,1571540400,53.0,-33.8583,121.8932,295.448,5.824
186,dukat,100,AL,1571238000,71.0,40.2512,19.565,295.7,0.914
187,paratebueno,93,CO,1571248800,58.0,4.3757,-73.2128,304.1,1.797
188,parnarama,24,BR,1571162400,19.0,-5.6824,-43.0896,314.084,1.784
189,cairns,25,AU,1571119200,65.0,-16.9205,145.7719,303.18,3.266
190,coahuayana,17,MX,1571173200,66.0,18.6201,-100.3453,303.003,1.312
191,puerto escondido,67,MX,1571162400,52.0,15.8624,-97.0717,302.884,2.132
192,mugumu,87,TZ,1571302800,26.0,-1.8403,34.6709,307.569,1.096
193,sinop,42,TR,1571302800,69.0,42.0267,35.1507,294.279,2.532
194,buta,36,CD,1571140800,42.0,2.7933,24.7287,307.92,0.814
195,talakan,45,RU,1571464800,55.0,50.2948,130.2826,284.032,0.82
196,hofn,100,IS,1571194800,85.0,64.2539,-15.2082,282.693,16.235
197,yerbogachen,50,RU,1571205600,87.0,61.2767,108.0108,278.689,4.136
198,candido mendes,9,BR,1571497200,53.0,-1.4467,-45.7167,304.612,4.741
199,kalmunai,27,LK,1571140800,71.0,7.4167,81.8167,302.44,4.172
200,maracaibo,78,CO,1571151600,53.0,3.4126,-75.7842,291.4,1.513
201,isangel,53,VU,1571119200,73.0,-19.55,169.2667,297.88,6.688
202,rio gallegos,100,AR,1571508000,46.0,-51.6227,-69.2182,288.082,9.674
203,lagoa,35,PT,1571410800,89.0,37.1363,-8.4541,293.44,3.091
204,visby,100,SE,1571227200,77.0,57.6379,18.298,288.403,2.619
205,flic en flac,18,MU,1571130000,63.0,-20.2742,57.3631,297.63,5.1
206,quatre cocos,0,MU,1571140800,70.0,-20.2078,57.7625,296.89,4.97
207,guadalupe y calvo,0,MX,1571248800,56.0,26.095,-106.9649,295.9,0.436
208,roma,36,IT,1571140800,48.0,41.8933,12.4829,298.1,6.275
209,boende,65,CD,1571130000,57.0,-0.2837,20.8826,303.764,1.965
210,lata,0,IN,1571205600,57.0,30.7809,78.6152,279.359,3.761
211,muyuka,96,CM,1571486400,54.0,4.2862,9.4077,304.371,1.006
212,ingham,0,AU,1571194800,19.0,-18.6477,146.1603,309.903,2.816
213,daru,51,PG,1571367600,58.0,-9.07,143.21,302.551,4.805
214,wajima,100,JP,1571464800,91.0,37.4,136.9,291.242,3.836
215,grand-lahou,41,CI,1571238000,84.0,5.2443,-5.0035,299.6,6.211
216,holland,100,US,1571432400,63.0,42.7876,-86.1091,286.645,4.631
217,itarema,48,BR,1571497200,42.0,-2.9248,-39.9167,307.212,6.244
218,katsuura,98,JP,1571367600,73.0,33.9258,134.505,295.811,0.602
219,barcelos,16,BR,1571410800,45.0,-0.973,-62.9257,309.0,0.511
220,mezen,96,RU,1571130000,71.0,65.8522,44.24,277.454,3.601
221,pochutla,59,MX,1571173200,73.0,15.7432,-96.4661,302.293,4.522
222,butaritari,46,KI,1571356800,70.0,3.0707,172.7902,302.716,5.818
223,kavaratti,100,IN,1571270400,67.0,10.5669,72.642,302.39,3.278
224,caravelas,53,BR,1571497200,49.0,-17.7297,-39.2661,303.232,3.958
225,vardo,0,US,1571173200,55.0,39.6165,-77.7392,290.493,3.173
226,burnie,71,AU,1571119200,54.0,-41.0524,145.9064,289.75,8.304
227,klaksvik,100,FO,1571389200,83.0,62.2266,-6.5891,283.209,8.686
228,yinchuan,53,CN,1571292000,29.0,38.4829,106.2116,289.204,4.465
229,cananea,0,MX,1571259600,22.0,30.9835,-110.3014,298.983,2.338
230,channel-port aux basques,100,CA,1571367600,96.0,47.5702,-59.1368,283.781,13.904
231,labuhan,93,ID,1571205600,40.0,-2.5409,115.5092,308.719,0.906
232,kaitangata,3,NZ,1571454000,55.0,-46.2818,169.8464,287.686,8.416
233,ziezmariai,83,LT,1571227200,65.0,54.8,24.45,291.113,5.439
234,tacna,9,PE,1571151600,35.0,-18.014,-70.2512,293.57,3.974
235,rio muerto,0,MX,1571259600,37.0,27.4167,-110.2334,308.223,2.154
236,casablanca,0,MA,1571400000,38.0,33.5951,-7.6188,296.98,4.106
237,sioux lookout,92,CA,1571432400,63.0,50.1001,-91.9191,287.415,5.622
238,bathsheba,78,BB,1571238000,69.0,13.2167,-59.5167,302.3,4.407
